seq_index;gene_name;score;offset;insertions;deletions;mismatches;length;5_p_align_offset;3_p_align_offset
3;M33235|TRBV11-2*02|Homo sapiens|[F]|V-REGION|171..455|285 nt|1| | | | |285+0=285| Edited and Extended, partial in 3'| |;96;-243;{};{};{0,3,7,8,10,12,17,43,44,46};43;0;42
3;X58796|TRBV11-2*03|Homo sapiens|(F)|V-REGION|81..365|285 nt|1| | | | |285+0=285| | |;115;-243;{};{};{0,3,7,8,10,17,43,44,46};43;0;42
3;U03115|TRBV11-3*01|Homo sapiens|F|V-REGION|25513..25802|290 nt|1| | | | |290+0=290| | |;153;-243;{};{};{0,7,8,17,43,44,46};43;0;42
3;X06936|TRBV12-2*01|Homo sapiens|P|V-REGION|391..677|287 nt|1| | | | |287+0=287|partial in 5'| |;113;-240;{};{};{0,7,17,27,35,38,39,43,44,46};35;0;34
3;X07192|TRBV12-3*01|Homo sapiens|F|V-REGION|426..715|290 nt|1| | | | |290+0=290| | |;67;-243;{};{};{0,5,7,8,9,20,26,27,41,43,44,46};41;0;40
3;K02546|TRBV12-4*01|Homo sapiens|F|V-REGION|158..447|290 nt|1| | | | |290+0=290| | |;67;-243;{};{};{0,5,7,8,9,20,26,27,41,43,44,46};41;0;40
3;M14264|TRBV12-4*02|Homo sapiens|(F)|V-REGION|58..345|288 nt|1| | | | |288+0=288| | |;67;-243;{};{};{0,5,7,8,9,20,26,27,41,43,44,46};41;0;40
3;U03115|TRBV13*01|Homo sapiens|F|V-REGION|6502..6788|287 nt|1| | | | |287+0=287| | |;96;-240;{};{};{0,1,2,7,21,26,27,43,44};43;0;42
3;U03115|TRBV15*01|Homo sapiens|F|V-REGION|63681..63967|287 nt|1| | | | |287+0=287| | |;53;-240;{};{};{0,4,5,7,15,21,26,29,37,42,43,44,46};42;0;41
3;X58800|TRBV15*02|Homo sapiens|(F)|V-REGION|85..366|282 nt|1| | | | |282+0=282| Extended by 5 | |;53;-240;{};{};{0,4,5,7,15,21,26,29,37,42,43,44,46};42;0;41
3;U03115|TRBV17*01|Homo sapiens|ORF|V-REGION|72572..72858|287 nt|1| | | | |287+0=287| | |;112;-243;{};{};{0,7,9,31,32,33,34,35,39,41,42,43};31;0;30
3;U66059|TRBV2*01|Homo sapiens|F|V-REGION|93697..93986|290 nt|1| | | | |290+0=290| | |;86;-243;{};{};{3,7,10,21,26,27,41,42,43,44,46};41;0;40
3;M64351|TRBV2*03|Homo sapiens|(F)|V-REGION|82..369|288 nt|1| | | | |288+0=288| Extended by 2 | |;86;-243;{};{};{3,7,10,21,26,27,41,42,43,44,46};41;0;40
3;U07977|TRBV3-1*01|Homo sapiens|F|V-REGION|5651..5934|284 nt|1| | | | |284+0=284|partial in 5' and 3'| |;53;-237;{};{};{0,1,2,7,8,11,17,20,27,42,43,44,46};42;0;41
3;L06889|TRBV3-1*02|Homo sapiens|(F)|V-REGION|58..336|279 nt|1| | | | |279+0=279| Extended by 8 | |;53;-240;{};{};{0,1,2,7,8,11,17,20,27,42,43,44,46};42;0;41
3;U66059|TRBV3-2*01|Homo sapiens|P|V-REGION|152052..152338|287 nt|1| | | | |287+0=287| | |;53;-240;{};{};{0,1,2,7,8,11,17,20,27,42,43,44,46};42;0;41
3;U07978|TRBV3-2*02|Homo sapiens|P|V-REGION|17502..17787|286 nt|1| | | | |286+0=286| Extended by 1 | |;53;-240;{};{};{0,1,2,7,8,11,17,20,27,42,43,44,46};42;0;41
3;U66059|TRBV5-1*01|Homo sapiens|F|V-REGION|113806..114091|286 nt|1| | | | |286+0=286| | |;58;-240;{};{};{0,1,2,7,17,21,23,29,32,43,44};43;0;42
3;X61439|TRBV5-3*01|Homo sapiens|ORF|V-REGION|417..702|286 nt|1| | | | |286+0=286| | |;96;-240;{};{};{0,1,2,7,17,21,38,43,44};43;0;42
3;AF009660|TRBV5-3*02|Homo sapiens|ORF|V-REGION|44205..44490|286 nt|1| | | | |286+0=286| | |;96;-240;{};{};{0,1,2,7,17,21,38,43,44};43;0;42
3;L36092|TRBV5-4*01|Homo sapiens|F|V-REGION|278005..278290|286 nt|1| | | | |286+0=286| | |;77;-240;{};{};{0,1,2,7,10,11,17,21,43,44};43;0;42
3;X57615|TRBV5-4*02|Homo sapiens|(F)|V-REGION|65..346|282 nt|1| | | | |282+0=282| Extended by 4 | |;77;-240;{};{};{0,1,2,7,10,11,17,21,43,44};43;0;42
3;L36092|TRBV5-5*01|Homo sapiens|F|V-REGION|297450..297735|286 nt|1| | | | |286+0=286| | |;77;-240;{};{};{0,1,2,3,4,7,17,21,43,44};43;0;42
3;L36092|TRBV5-6*01|Homo sapiens|F|V-REGION|314963..315248|286 nt|1| | | | |286+0=286| | |;58;-240;{};{};{0,1,2,3,4,7,17,21,23,43,44};43;0;42
3;L36092|TRBV5-8*01|Homo sapiens|F|V-REGION|355117..355402|286 nt|1| | | | |286+0=286| | |;96;-240;{};{};{0,1,2,7,10,17,21,43,44};43;0;42
3;X61444|TRBV7-1*01|Homo sapiens|ORF|V-REGION|1332..1621|290 nt|1| | | | |290+0=290| | |;120;-243;{};{};{3,7,16,17,20,44,46};44;0;43
3;X61442|TRBV7-2*01|Homo sapiens|F|V-REGION|545..834|290 nt|1| | | | |290+0=290| | |;134;-243;{};{};{3,7,10,17,43,44,46};43;0;42
3;X61443|TRBV7-2*02|Homo sapiens|F|V-REGION|192..475|284 nt|1| | | | |284+0=284| Extended by 6 | |;134;-243;{};{};{3,7,10,17,43,44,46};43;0;42
3;U07975|TRBV7-2*03|Homo sapiens|F|V-REGION|7806..8090|285 nt|1| | | | |285+0=285| Extended by 2 | |;115;-240;{};{};{3,7,10,17,33,43,44,46};43;0;42
3;X61443|TRBV7-2*05|Homo sapiens|F|V-REGION|192..475|284 nt|1| | | | |284+0=284| Discovered in Data, Possible Error, Not found in BLAST | |;134;-243;{};{};{3,7,10,17,43,44,46};43;0;42
3;X61440|TRBV7-3*01|Homo sapiens|F|V-REGION|748..1037|290 nt|1| | | | |290+0=290| | |;210;-243;{};{};{43,44,45,46};43;0;42
3;M97943|TRBV7-3*02|Homo sapiens|ORF|V-REGION|404..693|290 nt|1| | | | |290+0=290| | |;172;-243;{};{};{7,30,43,44,45,46};43;0;42
3;AF009660|TRBV7-3*03|Homo sapiens|ORF|V-REGION|39374..39663|290 nt|1| | | | |290+0=290| | |;153;-243;{};{};{7,22,30,43,44,45,46};43;0;42
3;X74843|TRBV7-3*04|Homo sapiens|(F)|V-REGION|140..426|287 nt|1| | | | |287+0=287| Extended by 3 | |;191;-243;{};{};{17,43,44,45,46};43;0;42
3;L36092|TRBV7-4*01|Homo sapiens|F|V-REGION|270051..270340|290 nt|1| | | | |290+0=290| | |;172;-243;{};{};{7,20,43,44,46};43;0;42
3;L36092|TRBV7-6*01|Homo sapiens|F|V-REGION|307097..307386|290 nt|1| | | | |290+0=290| | |;115;-243;{};{};{7,9,17,21,28,43,44,46};43;0;42
3;L36092|TRBV7-7*01|Homo sapiens|F|V-REGION|326549..326838|290 nt|1| | | | |290+0=290| | |;134;-243;{};{};{7,9,21,28,43,44,46};43;0;42
3;L36092|TRBV7-7*03|Homo sapiens|F|V-REGION|326549..326838|290 nt|1| | | | |290+0=290| Discovered Allele in Data | Found by BLAST |;115;-243;{};{};{7,9,21,28,35,43,44,46};43;0;42
3;M11953|TRBV7-8*01|Homo sapiens|F|V-REGION|215..504|290 nt|1| | | | |290+0=290| | |;134;-243;{};{};{3,7,10,17,43,44,46};43;0;42
3;X61441|TRBV7-8*02|Homo sapiens|F|V-REGION|497..786|290 nt|1| | | | |290+0=290| | |;115;-243;{};{};{3,6,7,10,17,43,44,46};43;0;42
3;L36092|TRBV7-9*01|Homo sapiens|F|V-REGION|364320..364609|290 nt|1| | | | |290+0=290| | |;153;-243;{};{};{7,17,21,43,44,46};43;0;42
3;M14261|TRBV7-9*04|Homo sapiens|(F)|V-REGION|58..342|285 nt|1| | | | |285+0=285| | |;153;-243;{};{};{7,17,21,43,44,46};43;0;42
3;M27385|TRBV7-9*05|Homo sapiens|(F)|V-REGION|34..321|288 nt|1| | | | |288+0=288| Edited | |;153;-243;{};{};{7,17,21,43,44,46};43;0;42
3;X74844|TRBV7-9*06|Homo sapiens|(F)|V-REGION|100..387|288 nt|1| | | | |288+0=288| Edited | |;153;-243;{};{};{7,17,21,43,44,46};43;0;42
3;L14854|TRBV7-9*07|Homo sapiens|(F)|V-REGION|1..203|203 nt|1| | | | |203+0=203| Edited | |;134;-159;{};{};{6,7,17,21,43,44,46};43;0;42
3;U66059|TRBV9*01|Homo sapiens|F|V-REGION|206836..207121|286 nt|1| | | | |286+0=286| | |;91;-240;{};{};{0,1,2,7,20,21,27,42,43,44};42;0;41
4;M11955|TRBV20-1*01|Homo sapiens|F|V-REGION|427..719|293 nt|1| | | | |293+0=293| | |;240;-243;{};{};{49};49;0;48
5;M33233|TRBV11-1*01|Homo sapiens|F|V-REGION|747..1036|290 nt|1| | | | |290+0=290| | |;104;-231;{};{};{1,10,11,12,15,19,20,22,33,56,57};56;0;55
5;U66059|TRBV11-2*01|Homo sapiens|F|V-REGION|248813..249102|290 nt|1| | | | |290+0=290| | |;142;-231;{};{};{1,10,11,12,15,19,20,56,57,58};56;0;55
5;M33235|TRBV11-2*02|Homo sapiens|[F]|V-REGION|171..455|285 nt|1| | | | |285+0=285| Edited and Extended, partial in 3'| |;123;-231;{};{};{1,10,11,12,15,19,20,24,56,57,58};56;0;55
5;X58796|TRBV11-2*03|Homo sapiens|(F)|V-REGION|81..365|285 nt|1| | | | |285+0=285| | |;123;-231;{};{};{1,8,10,11,12,15,19,20,56,57,58};56;0;55
5;U03115|TRBV11-3*01|Homo sapiens|F|V-REGION|25513..25802|290 nt|1| | | | |290+0=290| | |;123;-231;{};{};{1,10,11,12,15,19,20,22,56,57,58};56;0;55
5;X06936|TRBV12-2*01|Homo sapiens|P|V-REGION|391..677|287 nt|1| | | | |287+0=287|partial in 5'| |;97;-228;{};{};{1,10,11,12,15,22,39,47,50,51,56,57};47;0;46
5;U66059|TRBV2*01|Homo sapiens|F|V-REGION|93697..93986|290 nt|1| | | | |290+0=290| | |;70;-231;{};{};{1,7,9,10,15,19,29,33,38,39,53,54,55,56,57};53;0;52
5;M64351|TRBV2*03|Homo sapiens|(F)|V-REGION|82..369|288 nt|1| | | | |288+0=288| Extended by 2 | |;70;-231;{};{};{1,7,9,10,15,19,29,33,38,39,53,54,55,56,57};53;0;52
5;X61444|TRBV7-1*01|Homo sapiens|ORF|V-REGION|1332..1621|290 nt|1| | | | |290+0=290| | |;175;-231;{};{};{1,3,22,28,32,55,56,57};55;0;54
5;X61442|TRBV7-2*01|Homo sapiens|F|V-REGION|545..834|290 nt|1| | | | |290+0=290| | |;275;-231;{};{};{56,57};56;0;55
5;X61443|TRBV7-2*02|Homo sapiens|F|V-REGION|192..475|284 nt|1| | | | |284+0=284| Extended by 6 | |;275;-231;{};{};{56,57};56;0;55
5;U07975|TRBV7-2*03|Homo sapiens|F|V-REGION|7806..8090|285 nt|1| | | | |285+0=285| Extended by 2 | |;256;-228;{};{};{45,56,57};56;0;55
5;X61443|TRBV7-2*05|Homo sapiens|F|V-REGION|192..475|284 nt|1| | | | |284+0=284| Discovered in Data, Possible Error, Not found in BLAST | |;256;-231;{};{};{15,56,57};56;0;55
5;X61440|TRBV7-3*01|Homo sapiens|F|V-REGION|748..1037|290 nt|1| | | | |290+0=290| | |;180;-231;{};{};{1,15,19,22,29,56};56;0;55
5;M97943|TRBV7-3*02|Homo sapiens|ORF|V-REGION|404..693|290 nt|1| | | | |290+0=290| | |;180;-231;{};{};{1,15,22,29,42,56};56;0;55
5;AF009660|TRBV7-3*03|Homo sapiens|ORF|V-REGION|39374..39663|290 nt|1| | | | |290+0=290| | |;161;-231;{};{};{1,15,22,29,34,42,56};56;0;55
5;X74843|TRBV7-3*04|Homo sapiens|(F)|V-REGION|140..426|287 nt|1| | | | |287+0=287| Extended by 3 | |;180;-231;{};{};{1,15,19,22,29,56};56;0;55
5;L36092|TRBV7-4*01|Homo sapiens|F|V-REGION|270051..270340|290 nt|1| | | | |290+0=290| | |;180;-231;{};{};{1,15,22,29,32,56,57};56;0;55
5;L36092|TRBV7-6*01|Homo sapiens|F|V-REGION|307097..307386|290 nt|1| | | | |290+0=290| | |;180;-231;{};{};{15,21,22,33,40,56,57};56;0;55
5;L36092|TRBV7-7*01|Homo sapiens|F|V-REGION|326549..326838|290 nt|1| | | | |290+0=290| | |;142;-231;{};{};{5,15,21,22,29,33,40,56,57};56;0;55
5;L36092|TRBV7-7*03|Homo sapiens|F|V-REGION|326549..326838|290 nt|1| | | | |290+0=290| Discovered Allele in Data | Found by BLAST |;123;-231;{};{};{5,15,21,22,29,33,40,47,56,57};56;0;55
5;M11953|TRBV7-8*01|Homo sapiens|F|V-REGION|215..504|290 nt|1| | | | |290+0=290| | |;237;-231;{};{};{1,29,56,57};56;0;55
5;X61441|TRBV7-8*02|Homo sapiens|F|V-REGION|497..786|290 nt|1| | | | |290+0=290| | |;218;-231;{};{};{1,18,29,56,57};56;0;55
5;L36092|TRBV7-9*01|Homo sapiens|F|V-REGION|364320..364609|290 nt|1| | | | |290+0=290| | |;199;-231;{};{};{0,1,15,22,33,56,57};56;0;55
5;M14261|TRBV7-9*04|Homo sapiens|(F)|V-REGION|58..342|285 nt|1| | | | |285+0=285| | |;199;-231;{};{};{0,1,15,22,33,56,57};56;0;55
5;M27385|TRBV7-9*05|Homo sapiens|(F)|V-REGION|34..321|288 nt|1| | | | |288+0=288| Edited | |;199;-231;{};{};{0,1,15,22,33,56,57};56;0;55
5;X74844|TRBV7-9*06|Homo sapiens|(F)|V-REGION|100..387|288 nt|1| | | | |288+0=288| Edited | |;199;-231;{};{};{0,1,15,22,33,56,57};56;0;55
5;L14854|TRBV7-9*07|Homo sapiens|(F)|V-REGION|1..203|203 nt|1| | | | |203+0=203| Edited | |;180;-147;{};{};{0,1,15,18,22,33,56,57};56;0;55
6;U03115|TRBV13*01|Homo sapiens|F|V-REGION|6502..6788|287 nt|1| | | | |287+0=287| | |;79;-231;{};{};{0,4,6,12,13,17,26,32,35,36,51,52,53};51;0;50
6;U07975|TRBV4-2*01|Homo sapiens|F|V-REGION|480..763|284 nt|1| | | | |284+0=284|partial in 5' and 3'| |;65;-228;{};{};{0,2,3,6,9,12,13,16,19,20,32,52,53,55};52;0;51
6;U66059|TRBV5-1*01|Homo sapiens|F|V-REGION|113806..114091|286 nt|1| | | | |286+0=286| | |;98;-231;{};{};{4,6,12,13,17,32,38,41,51,52};51;0;50
6;X61439|TRBV5-3*01|Homo sapiens|ORF|V-REGION|417..702|286 nt|1| | | | |286+0=286| | |;117;-231;{};{};{4,5,12,13,17,32,47,51,52};51;0;50
6;AF009660|TRBV5-3*02|Homo sapiens|ORF|V-REGION|44205..44490|286 nt|1| | | | |286+0=286| | |;117;-231;{};{};{4,5,12,13,17,32,47,51,52};51;0;50
6;L36092|TRBV5-4*01|Homo sapiens|F|V-REGION|278005..278290|286 nt|1| | | | |286+0=286| | |;136;-231;{};{};{12,13,17,19,20,32,51,52};51;0;50
6;X57615|TRBV5-4*02|Homo sapiens|(F)|V-REGION|65..346|282 nt|1| | | | |282+0=282| Extended by 4 | |;136;-231;{};{};{12,13,17,19,20,32,51,52};51;0;50
6;L36092|TRBV5-5*01|Homo sapiens|F|V-REGION|297450..297735|286 nt|1| | | | |286+0=286| | |;212;-231;{};{};{17,32,51,52};51;0;50
6;L36092|TRBV5-6*01|Homo sapiens|F|V-REGION|314963..315248|286 nt|1| | | | |286+0=286| | |;231;-231;{};{};{17,51,52};51;0;50
6;L36092|TRBV5-7*01|Homo sapiens|ORF|V-REGION|334981..335266|286 nt|1| | | | |286+0=286| | |;250;-231;{};{};{51,52};51;0;50
6;L36092|TRBV5-8*01|Homo sapiens|F|V-REGION|355117..355402|286 nt|1| | | | |286+0=286| | |;155;-231;{};{};{12,13,17,19,32,51,52};51;0;50
7;M33233|TRBV11-1*01|Homo sapiens|F|V-REGION|747..1036|290 nt|1| | | | |290+0=290| | |;64;-240;{};{};{1,2,3,6,10,11,13,20,24,48,49};48;0;47
7;U66059|TRBV11-2*01|Homo sapiens|F|V-REGION|248813..249102|290 nt|1| | | | |290+0=290| | |;102;-240;{};{};{1,2,3,6,10,11,20,48,49};48;0;47
7;M33235|TRBV11-2*02|Homo sapiens|[F]|V-REGION|171..455|285 nt|1| | | | |285+0=285| Edited and Extended, partial in 3'| |;83;-240;{};{};{1,2,3,6,10,11,15,20,48,49};48;0;47
7;X58796|TRBV11-2*03|Homo sapiens|(F)|V-REGION|81..365|285 nt|1| | | | |285+0=285| | |;102;-240;{};{};{1,2,3,6,10,11,20,48,49};48;0;47
7;U03115|TRBV11-3*01|Homo sapiens|F|V-REGION|25513..25802|290 nt|1| | | | |290+0=290| | |;83;-240;{};{};{1,2,3,6,10,11,13,20,48,49};48;0;47
7;X06936|TRBV12-2*01|Homo sapiens|P|V-REGION|391..677|287 nt|1| | | | |287+0=287|partial in 5'| |;52;-237;{};{};{1,2,3,6,13,20,30,38,41,42,48,49};38;0;37
7;U66059|TRBV2*01|Homo sapiens|F|V-REGION|93697..93986|290 nt|1| | | | |290+0=290| | |;82;-240;{};{};{0,1,6,10,20,24,29,30,44,45,46,48,49};44;0;43
7;M64351|TRBV2*03|Homo sapiens|(F)|V-REGION|82..369|288 nt|1| | | | |288+0=288| Extended by 2 | |;82;-240;{};{};{0,1,6,10,20,24,29,30,44,45,46,48,49};44;0;43
7;L36092|TRBV5-4*01|Homo sapiens|F|V-REGION|278005..278290|286 nt|1| | | | |286+0=286| | |;59;-237;{};{};{0,1,3,4,5,6,10,14,20,24,47,48};47;0;46
7;X57615|TRBV5-4*02|Homo sapiens|(F)|V-REGION|65..346|282 nt|1| | | | |282+0=282| Extended by 4 | |;59;-237;{};{};{0,1,3,4,5,6,10,14,20,24,47,48};47;0;46
7;L36092|TRBV5-8*01|Homo sapiens|F|V-REGION|355117..355402|286 nt|1| | | | |286+0=286| | |;78;-237;{};{};{0,1,3,4,5,6,10,20,24,47,48};47;0;46
7;X61444|TRBV7-1*01|Homo sapiens|ORF|V-REGION|1332..1621|290 nt|1| | | | |290+0=290| | |;149;-240;{};{};{13,19,20,23,46,48,49};46;0;45
7;X61442|TRBV7-2*01|Homo sapiens|F|V-REGION|545..834|290 nt|1| | | | |290+0=290| | |;216;-240;{};{};{20,48,49};48;0;47
7;X61443|TRBV7-2*02|Homo sapiens|F|V-REGION|192..475|284 nt|1| | | | |284+0=284| Extended by 6 | |;216;-240;{};{};{20,48,49};48;0;47
7;U07975|TRBV7-2*03|Homo sapiens|F|V-REGION|7806..8090|285 nt|1| | | | |285+0=285| Extended by 2 | |;197;-237;{};{};{20,36,48,49};48;0;47
7;X61443|TRBV7-2*05|Homo sapiens|F|V-REGION|192..475|284 nt|1| | | | |284+0=284| Discovered in Data, Possible Error, Not found in BLAST | |;197;-240;{};{};{6,20,48,49};48;0;47
7;X61440|TRBV7-3*01|Homo sapiens|F|V-REGION|748..1037|290 nt|1| | | | |290+0=290| | |;159;-240;{};{};{6,10,13,20,48,49};48;0;47
7;M97943|TRBV7-3*02|Homo sapiens|ORF|V-REGION|404..693|290 nt|1| | | | |290+0=290| | |;159;-240;{};{};{6,13,20,33,48,49};48;0;47
7;AF009660|TRBV7-3*03|Homo sapiens|ORF|V-REGION|39374..39663|290 nt|1| | | | |290+0=290| | |;140;-240;{};{};{6,13,20,25,33,48,49};48;0;47
7;X74843|TRBV7-3*04|Homo sapiens|(F)|V-REGION|140..426|287 nt|1| | | | |287+0=287| Extended by 3 | |;159;-240;{};{};{6,10,13,20,48,49};48;0;47
7;L36092|TRBV7-4*01|Homo sapiens|F|V-REGION|270051..270340|290 nt|1| | | | |290+0=290| | |;159;-240;{};{};{6,13,20,23,48,49};48;0;47
7;L36092|TRBV7-6*01|Homo sapiens|F|V-REGION|307097..307386|290 nt|1| | | | |290+0=290| | |;121;-240;{};{};{6,12,13,20,24,31,48,49};48;0;47
7;L36092|TRBV7-7*01|Homo sapiens|F|V-REGION|326549..326838|290 nt|1| | | | |290+0=290| | |;121;-240;{};{};{6,12,13,20,24,31,48,49};48;0;47
7;L36092|TRBV7-7*03|Homo sapiens|F|V-REGION|326549..326838|290 nt|1| | | | |290+0=290| Discovered Allele in Data | Found by BLAST |;102;-240;{};{};{6,12,13,20,24,31,38,48,49};48;0;47
7;M11953|TRBV7-8*01|Homo sapiens|F|V-REGION|215..504|290 nt|1| | | | |290+0=290| | |;235;-240;{};{};{48,49};48;0;47
7;X61441|TRBV7-8*02|Homo sapiens|F|V-REGION|497..786|290 nt|1| | | | |290+0=290| | |;216;-240;{};{};{9,48,49};48;0;47
7;L36092|TRBV7-9*01|Homo sapiens|F|V-REGION|364320..364609|290 nt|1| | | | |290+0=290| | |;159;-240;{};{};{6,13,20,24,48,49};48;0;47
7;M14261|TRBV7-9*04|Homo sapiens|(F)|V-REGION|58..342|285 nt|1| | | | |285+0=285| | |;159;-240;{};{};{6,13,20,24,48,49};48;0;47
7;M27385|TRBV7-9*05|Homo sapiens|(F)|V-REGION|34..321|288 nt|1| | | | |288+0=288| Edited | |;159;-240;{};{};{6,13,20,24,48,49};48;0;47
7;X74844|TRBV7-9*06|Homo sapiens|(F)|V-REGION|100..387|288 nt|1| | | | |288+0=288| Edited | |;159;-240;{};{};{6,13,20,24,48,49};48;0;47
7;L14854|TRBV7-9*07|Homo sapiens|(F)|V-REGION|1..203|203 nt|1| | | | |203+0=203| Edited | |;140;-156;{};{};{6,9,13,20,24,48,49};48;0;47
8;M33233|TRBV11-1*01|Homo sapiens|F|V-REGION|747..1036|290 nt|1| | | | |290+0=290| | |;56;-231;{};{};{1,5,10,11,12,19,20,21,29,40,47,54,56,57};54;0;53
8;X61444|TRBV7-1*01|Homo sapiens|ORF|V-REGION|1332..1621|290 nt|1| | | | |290+0=290| | |;56;-231;{};{};{1,3,5,15,21,28,29,32,33,40,47,54,55,56,57};54;0;53
